type,quality,fixed acidity,volatile acidity,citric acid,pH,sulphates,alcohol
white,6,7,0.27,0.36,3,0.45,8.8
white,6,6.3,0.3,0.34,3.3,0.49,9.5
white,6,8.1,0.28,0.4,3.26,0.44,10.1
white,6,7.2,0.23,0.32,3.19,0.4,9.9
white,6,7.2,0.23,0.32,3.19,0.4,9.9
white,6,8.1,0.28,0.4,3.26,0.44,10.1
white,6,6.2,0.32,0.16,3.18,0.47,9.6
white,6,7,0.27,0.36,3,0.45,8.8
white,6,6.3,0.3,0.34,3.3,0.49,9.5
white,6,8.1,0.22,0.43,3.22,0.45,11
white,5,8.1,0.27,0.41,2.99,0.56,12
white,5,8.6,0.23,0.4,3.14,0.53,9.7
white,5,7.9,0.18,0.37,3.18,0.63,10.8
white,7,6.6,0.16,0.4,3.54,0.52,12.4
white,5,8.3,0.42,0.62,2.98,0.67,9.7
white,7,6.6,0.17,0.38,3.25,0.55,11.4
white,6,6.3,0.48,0.04,3.24,0.36,9.6
white,8,6.2,0.66,0.48,3.33,0.39,12.8
white,6,7.4,0.34,0.42,3.12,0.53,11.3
white,5,6.5,0.31,0.14,3.22,0.5,9.5
white,8,6.2,0.66,0.48,3.33,0.39,12.8
white,7,6.4,0.31,0.38,3.17,0.35,11
white,8,6.8,0.26,0.42,3.47,0.48,10.5
white,5,7.6,0.67,0.14,3.05,0.51,9.3
white,6,6.6,0.27,0.41,3.42,0.47,10
white,6,7,0.25,0.32,3.25,0.5,10.4
white,6,6.9,0.24,0.35,3.45,0.44,10
white,6,7,0.28,0.39,3.38,0.53,10.5
white,6,7.4,0.27,0.48,3.19,0.49,11.6
white,7,7.2,0.32,0.36,3.1,0.71,12.3
white,6,8.5,0.24,0.39,3.2,0.53,10
white,6,8.3,0.14,0.34,3.47,0.4,10.2
white,6,7.4,0.25,0.36,3.19,0.44,10.8
white,6,6.2,0.12,0.34,3.42,0.51,9
white,5,5.8,0.27,0.2,3.37,0.37,10.2
white,5,7.3,0.28,0.43,3.19,0.42,12.8
white,5,6.5,0.39,0.23,3.24,0.35,10
white,6,7,0.33,0.32,3.13,0.28,11.2
white,5,7.3,0.24,0.39,3.21,0.36,8.6
white,5,7.3,0.24,0.39,3.21,0.36,8.6
white,6,6.7,0.23,0.39,3.11,0.36,9.4
white,6,6.7,0.24,0.39,3.1,0.34,9.4
white,6,7,0.31,0.26,3.13,0.46,9.8
white,6,6.6,0.24,0.27,3.22,0.56,9.5
white,6,6.7,0.23,0.26,3.24,0.56,9.5
white,7,7.4,0.18,0.31,3.16,0.53,10
white,4,6.2,0.45,0.26,3.27,0.52,9.8
white,5,6.2,0.46,0.25,3.25,0.52,9.8
white,6,7,0.31,0.26,3.13,0.46,9.8
white,5,6.9,0.19,0.35,3.36,0.48,9.8
white,6,7.2,0.19,0.31,3.35,0.44,11.7
white,7,6.6,0.25,0.29,3.34,0.58,11
white,7,6.2,0.16,0.33,3.32,0.46,10.9
white,6,6.4,0.18,0.35,3.31,0.35,10.9
white,6,6.8,0.2,0.59,3.05,0.38,9.1
white,6,6.9,0.25,0.35,3.13,0.52,11
white,6,7.2,0.21,0.34,3.09,0.5,9.6
white,6,6,0.19,0.26,3.3,0.36,8.9
white,6,6.6,0.38,0.15,3.11,0.38,10.2
white,6,7.4,0.2,0.36,3.36,0.34,9.9
white,6,6.8,0.22,0.24,3.03,0.46,8.6
white,6,6,0.19,0.26,3.3,0.36,8.9
white,5,7,0.47,0.07,3.02,0.34,10.5
white,6,6.6,0.38,0.15,3.11,0.38,10.2
white,6,7.2,0.24,0.27,3.15,0.46,10.3
white,5,6.2,0.35,0.03,3.22,0.54,9.1
white,7,6.4,0.26,0.24,3.22,0.49,12.6
white,5,6.7,0.25,0.13,3.14,0.42,9.8
white,8,6.7,0.23,0.31,3.33,0.64,10.7
white,5,7.4,0.24,0.29,3.13,0.35,9.5
white,6,6.2,0.27,0.43,3.1,0.51,9
white,5,6.8,0.3,0.23,3.32,0.6,9.5
white,5,6,0.27,0.28,3.69,0.71,10
white,6,8.6,0.23,0.46,2.95,0.49,9.1
white,8,6.7,0.23,0.31,3.33,0.64,10.7
white,5,7.4,0.24,0.29,3.13,0.35,9.5
white,7,7.1,0.18,0.36,3.26,0.37,12.7
white,7,7,0.32,0.34,3.31,0.65,12
white,5,7.4,0.18,0.3,2.94,0.56,9.3
white,5,6.7,0.54,0.28,3.27,0.37,9
white,6,6.8,0.22,0.31,3.39,0.77,10.6
white,6,7.1,0.2,0.34,3.21,0.6,9.2
white,5,7.1,0.34,0.2,3.17,0.42,10
white,6,7.3,0.22,0.3,3.33,0.46,9.5
white,5,7.1,0.43,0.61,3.11,0.45,8.7
white,6,7.1,0.44,0.62,3.12,0.46,8.7
white,6,7.2,0.39,0.63,3.09,0.44,8.7
white,6,6.8,0.25,0.31,3.22,0.48,9.7
white,5,7.1,0.43,0.61,3.11,0.45,8.7
white,6,7.1,0.44,0.62,3.12,0.46,8.7
white,6,7.2,0.39,0.63,3.09,0.44,8.7
white,5,6.1,0.27,0.43,3.12,0.47,9
white,7,6.9,0.24,0.33,3.26,0.4,12.6
